City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Tala,EG,2021-03-27 20:39:31,30.6803,30.9429,53.55,59,44,7.0
158,Vaini,TO,2021-03-27 20:39:31,-21.2,-175.2,80.6,89,20,10.36
159,Baie-Comeau,CA,2021-03-27 20:39:31,49.2168,-68.1489,28.4,64,1,13.8
160,Havre-Saint-Pierre,CA,2021-03-27 20:39:31,50.2334,-63.5986,30.2,31,1,5.75
161,Bambous Virieux,MU,2021-03-27 20:39:31,-20.3428,57.7575,78.01,83,75,5.75
162,Lucapa,AO,2021-03-27 20:39:32,-8.4192,20.7447,66.24,92,99,1.05
163,Saint Anthony,US,2021-03-27 20:39:32,45.0205,-93.218,48.2,81,90,10.36
164,Vallenar,CL,2021-03-27 20:35:02,-28.5708,-70.7581,80.06,30,0,7.61
165,Raghunathpur,IN,2021-03-27 20:39:32,23.55,86.6667,80.01,32,0,2.59
166,Sarahan,IN,2021-03-27 20:39:32,31.5167,77.8,48.58,44,1,7.76
167,Moose Factory,CA,2021-03-27 20:39:33,51.2585,-80.6094,26.6,63,1,9.22
168,Cherskiy,RU,2021-03-27 20:39:33,68.75,161.3,-12.53,93,34,5.19
169,San Patricio,US,2021-03-27 20:39:33,28.017,-97.5169,87.01,62,40,21.85
170,Pangnirtung,CA,2021-03-27 20:39:33,66.1451,-65.7125,-7.13,87,91,1.39
171,Masuda,JP,2021-03-27 20:39:34,34.6667,131.85,57.99,88,90,5.75
172,Russell,US,2021-03-27 20:39:34,32.3502,-85.1999,84.99,54,75,10.36
173,Mogadishu,SO,2021-03-27 20:39:34,2.0371,45.3438,80.53,82,96,17.58
174,Mazatlan,MX,2021-03-27 20:39:34,23.2167,-106.4167,78.8,31,75,12.66
175,Huarmey,PE,2021-03-27 20:39:34,-10.0681,-78.1522,74.21,74,37,8.32
176,Gat,IL,2021-03-27 20:39:35,31.61,34.7642,55.0,100,7,1.95
177,Geraldton,AU,2021-03-27 20:39:35,-28.7667,114.6,62.6,72,8,9.22
178,Soyo,AO,2021-03-27 20:39:35,-6.1349,12.3689,80.71,81,81,10.51
179,Dikson,RU,2021-03-27 20:39:35,73.5069,80.5464,-19.32,100,98,8.19
180,Lagoa,PT,2021-03-27 20:39:36,39.05,-27.9833,59.22,89,33,11.63
181,Mabaruma,GY,2021-03-27 20:39:36,8.2,-59.7833,72.63,94,98,3.42
182,Ardakan,IR,2021-03-27 20:39:36,32.31,54.0175,75.2,16,0,9.22
183,Soyaux,FR,2021-03-27 20:39:36,45.65,0.2,50.0,50,0,4.61
184,Hithadhoo,MV,2021-03-27 20:39:36,-0.6,73.0833,83.84,72,100,14.61
185,Buala,SB,2021-03-27 20:39:37,-8.145,159.5921,82.17,80,62,8.93
186,Waitati,NZ,2021-03-27 20:39:37,-45.75,170.5667,62.01,83,100,8.99
187,Kununurra,AU,2021-03-27 20:36:15,-15.7667,128.7333,78.8,94,75,1.14
188,Norman Wells,CA,2021-03-27 20:39:37,65.282,-126.8329,10.4,72,90,9.22
189,Olinda,BR,2021-03-27 20:39:37,-8.0089,-34.8553,78.8,73,40,6.91
190,Benoy,TD,2021-03-27 20:39:38,8.9833,16.3199,87.84,13,59,4.99
191,Nome,US,2021-03-27 20:39:38,64.5011,-165.4064,3.99,85,1,0.85
192,Tarakan,ID,2021-03-27 20:39:38,3.3,117.6333,77.85,78,100,4.52
193,Cabo San Lucas,MX,2021-03-27 20:37:16,22.8909,-109.9124,78.8,43,20,6.91
194,New Norfolk,AU,2021-03-27 20:39:38,-42.7826,147.0587,53.01,84,100,3.33
195,Nanortalik,GL,2021-03-27 20:39:39,60.1432,-45.2371,13.42,62,99,17.16
196,Umba,RU,2021-03-27 20:39:39,66.6871,34.3429,33.22,94,99,9.6
197,La Paz,BO,2021-03-27 20:38:46,-16.5,-68.15,46.4,76,75,10.36
198,Port Hawkesbury,CA,2021-03-27 20:39:39,45.6169,-61.3485,34.0,80,90,9.22
199,Caravelas,BR,2021-03-27 20:39:39,-17.7125,-39.2481,77.68,72,3,5.97
200,Phetchaburi,TH,2021-03-27 20:39:02,12.9667,99.5833,82.0,89,97,3.4
201,Burnie,AU,2021-03-27 20:39:39,-41.0667,145.9167,55.11,78,33,10.22
202,Bambanglipuro,ID,2021-03-27 20:39:40,-7.95,110.2833,76.41,88,77,3.4
203,Goure,NE,2021-03-27 20:39:40,13.9835,10.2704,71.83,15,0,10.0
204,Sozimskiy,RU,2021-03-27 20:39:40,59.7418,52.2482,14.97,97,19,3.62
205,Pulawy,PL,2021-03-27 20:39:40,51.4166,21.9694,46.99,100,100,10.09
206,Taltal,CL,2021-03-27 20:39:41,-25.4,-70.4833,67.26,67,43,3.62
207,Bubaque,GW,2021-03-27 20:39:41,11.2833,-15.8333,76.82,74,100,20.07
208,Cidreira,BR,2021-03-27 20:39:41,-30.1811,-50.2056,75.83,80,100,5.75
209,Flin Flon,CA,2021-03-27 20:39:41,54.7682,-101.865,28.4,40,40,12.66
210,Cayenne,GF,2021-03-27 20:39:41,4.9333,-52.3333,82.4,74,40,13.8
211,Asyut,EG,2021-03-27 20:39:42,27.181,31.1837,57.2,54,0,13.8
212,Benguela,AO,2021-03-27 20:39:42,-12.5763,13.4055,78.15,78,26,3.0
213,Poronaysk,RU,2021-03-27 20:39:42,49.2167,143.1167,24.17,96,99,3.38
214,Morwell,AU,2021-03-27 20:39:42,-38.2333,146.4,51.01,95,100,2.77
215,Anloga,GH,2021-03-27 20:39:43,5.7947,0.8973,82.4,78,20,10.36
216,Manthani,IN,2021-03-27 20:38:27,18.65,79.6667,82.0,21,0,5.82
217,Ketchikan,US,2021-03-27 20:39:43,55.3422,-131.6461,42.8,100,90,16.11
218,Winnemucca,US,2021-03-27 20:39:43,40.973,-117.7357,59.0,26,1,6.91
219,Darnah,LY,2021-03-27 20:39:43,32.767,22.6367,55.99,67,2,12.37
220,Zhigansk,RU,2021-03-27 20:39:43,66.7697,123.3711,0.93,98,93,4.52
221,Arraial Do Cabo,BR,2021-03-27 20:39:44,-22.9661,-42.0278,86.0,69,0,14.97
222,Antofagasta,CL,2021-03-27 20:37:13,-23.65,-70.4,70.0,68,20,13.8
223,Ostrovnoy,RU,2021-03-27 20:39:44,68.0531,39.5131,32.04,85,92,25.01
224,Port Lincoln,AU,2021-03-27 20:36:10,-34.7333,135.8667,57.54,79,36,2.84
225,Amontada,BR,2021-03-27 20:39:44,-3.3617,-39.8317,74.37,93,96,4.43
226,Camara De Lobos,PT,2021-03-27 20:35:21,32.6333,-16.9667,64.4,88,75,20.71
227,Codrington,AU,2021-03-27 20:39:44,-38.2667,141.9667,53.13,87,100,6.53
228,Junin,AR,2021-03-27 20:39:45,-34.5838,-60.9433,64.99,56,99,8.01
229,Beaverlodge,CA,2021-03-27 20:39:45,55.2166,-119.4361,41.0,65,75,3.44
230,Hangal,IN,2021-03-27 20:38:12,14.7667,75.1333,75.67,79,95,8.37
231,Qorveh,IR,2021-03-27 20:39:33,35.1664,47.8045,33.12,39,0,7.43
232,Portland,US,2021-03-27 20:35:22,45.5234,-122.6762,60.01,54,40,1.61
233,Saeby,DK,2021-03-27 20:39:45,57.3319,10.5225,41.0,87,2,17.27
234,Saldanha,ZA,2021-03-27 20:39:45,-33.0117,17.9442,59.0,72,0,6.91
235,Alacranes,CU,2021-03-27 20:39:46,22.7675,-81.5675,86.0,58,40,17.27
236,Kharp,RU,2021-03-27 20:39:46,66.8014,65.8081,10.62,93,74,4.63
237,Conceicao Do Araguaia,BR,2021-03-27 20:39:46,-8.2578,-49.2647,87.8,58,0,3.44
238,Maarianhamina,AX,2021-03-27 20:39:46,60.0973,19.9348,42.8,75,0,9.22
239,Rocha,UY,2021-03-27 20:39:46,-34.4833,-54.3333,71.37,84,100,4.9
240,Manta,EC,2021-03-27 20:39:47,-0.95,-80.7333,84.2,65,20,9.22
241,Jijiga,ET,2021-03-27 20:39:47,9.35,42.8,63.14,38,47,5.99
242,Tomatlan,MX,2021-03-27 20:39:47,19.9333,-105.25,85.96,31,83,9.75
243,Tuatapere,NZ,2021-03-27 20:39:47,-46.1333,167.6833,57.0,95,100,3.0
244,Saint-Joseph,RE,2021-03-27 20:39:48,-21.3667,55.6167,77.0,88,90,3.44
245,Asbe Teferi,ET,2021-03-27 20:39:48,9.0833,40.8667,62.33,25,79,2.46
246,Komsomolskiy,UZ,2021-03-27 20:39:48,40.4272,71.7189,55.4,82,90,4.61
247,Tiarei,PF,2021-03-27 20:39:48,-17.5333,-149.3333,86.0,70,40,8.05
248,Kapoeta,SS,2021-03-27 20:39:49,4.7717,33.5903,82.92,40,100,5.39
249,Akyab,MM,2021-03-27 20:39:49,20.15,92.9,77.22,52,100,5.95
250,Matagami,CA,2021-03-27 20:39:49,49.7502,-77.6328,37.4,30,1,4.61
251,Beroroha,MG,2021-03-27 20:39:49,-21.6667,45.1667,71.38,86,16,1.9
252,Marawi,PH,2021-03-27 20:39:49,7.9986,124.2928,73.99,90,88,4.0
253,Nikolskoye,RU,2021-03-27 20:39:50,59.7035,30.7861,42.01,65,0,6.71
254,Guangyuan,CN,2021-03-27 20:39:50,32.442,105.823,60.01,85,0,2.17
255,Awbari,LY,2021-03-27 20:39:50,26.5921,12.7805,59.27,24,0,9.35
256,Srednekolymsk,RU,2021-03-27 20:39:50,67.45,153.6833,-10.52,91,97,2.59
257,Woodward,US,2021-03-27 20:39:51,36.4337,-99.3904,66.99,32,1,20.71
258,Paka,MY,2021-03-27 20:39:51,4.6374,103.4368,77.0,100,74,1.92
259,Oroville,US,2021-03-27 20:39:51,39.5138,-121.5564,71.6,30,1,5.75
260,Alofi,NU,2021-03-27 20:39:51,-19.0595,-169.9187,77.0,94,90,5.75
261,Keti Bandar,PK,2021-03-27 20:39:51,24.1447,67.4497,77.63,72,100,14.7
262,Viedma,AR,2021-03-27 20:39:52,-40.8135,-62.9967,71.62,20,1,13.51
263,Whitehorse,CA,2021-03-27 20:39:52,60.7161,-135.0538,28.0,74,75,5.37
264,Khatanga,RU,2021-03-27 20:39:52,71.9667,102.5,2.23,96,100,7.92
265,Jalu,LY,2021-03-27 20:39:52,29.0331,21.5482,57.07,36,0,7.2
266,Muvattupula,IN,2021-03-27 20:39:53,9.9667,76.5833,78.8,89,40,2.3
267,Chimore,BO,2021-03-27 20:39:53,-16.9833,-65.1333,76.86,95,100,0.69
268,Coolum Beach,AU,2021-03-27 20:39:53,-26.5333,153.1,61.0,97,0,1.01
269,Amla,IN,2021-03-27 20:39:53,21.9333,78.1167,75.34,17,0,2.77
