City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Ketchikan,US,55.3422,-131.6461,42.8,61,90,14.97,overcast clouds
222,Ruteng,ID,-8.6136,120.4721,64.2,91,100,1.5,overcast clouds
223,Itarema,BR,-2.9248,-39.9167,77.09,83,6,5.35,clear sky
224,Mbekenyera,TZ,-10.0,38.9833,70.34,94,67,2.44,broken clouds
225,Flinders,AU,-34.5833,150.8552,64.0,85,3,1.01,clear sky
226,Irbit,RU,57.6705,63.071,27.16,85,68,10.92,broken clouds
227,Prince Rupert,CA,54.3161,-130.3201,42.8,56,75,14.97,broken clouds
228,Itanhem,BR,-17.1664,-40.33,75.13,72,4,7.58,clear sky
229,Nikolskoye,RU,59.7035,30.7861,39.99,87,90,2.24,light rain
230,Nogales,MX,31.3086,-110.9422,79.0,11,1,16.11,clear sky
231,Zyryanovsk,KZ,49.7386,84.2719,33.46,99,100,2.89,snow
232,Gladstone,AU,-23.85,151.25,78.8,65,10,5.75,light rain
233,Viedma,AR,-40.8135,-62.9967,65.32,29,96,2.8,overcast clouds
234,Klaksvik,FO,62.2266,-6.589,41.0,93,40,13.8,scattered clouds
235,Sierra Vista,US,31.5545,-110.3037,71.6,10,1,13.8,clear sky
236,Hailar,CN,49.2,119.7,30.04,71,100,19.39,overcast clouds
237,Agar,IN,23.7,76.0167,79.61,18,5,10.85,clear sky
238,Tiznit,MA,29.5833,-9.5,63.32,52,38,5.37,scattered clouds
239,Gizo,SB,-8.103,156.8419,84.36,69,46,7.43,scattered clouds
240,Dondaicha,IN,21.3333,74.5667,82.94,25,7,13.18,clear sky
241,Parabel,RU,58.6978,81.4825,20.16,94,100,8.5,overcast clouds
242,Nanortalik,GL,60.1432,-45.2371,23.16,69,1,15.52,clear sky
243,Morehead,US,37.2711,-87.1764,54.0,28,75,13.8,broken clouds
244,Namtsy,RU,62.7161,129.6658,-2.2,78,40,2.24,scattered clouds
245,Constitucion,CL,-35.3333,-72.4167,58.12,67,0,0.85,clear sky
246,Lavrentiya,RU,65.5833,-171.0,11.37,93,100,19.64,light snow
247,Adre,TD,13.4667,22.2,70.5,12,53,20.38,broken clouds
248,Katsuura,JP,35.1333,140.3,62.01,88,75,3.44,broken clouds
249,Port Hardy,CA,50.6996,-127.4199,41.0,81,75,16.11,light rain
250,Yeppoon,AU,-23.1333,150.7333,77.0,73,43,8.05,scattered clouds
251,Ulaangom,MN,49.9811,92.0667,17.58,87,100,5.08,overcast clouds
252,Zorritos,PE,-3.6805,-80.6782,82.4,69,75,5.75,broken clouds
253,Beloha,MG,-25.1667,45.05,69.42,89,8,3.47,light rain
254,Carauari,BR,-4.8828,-66.8958,74.61,97,74,0.43,broken clouds
255,Eureka,US,40.8021,-124.1637,57.99,70,3,5.01,clear sky
256,Sayyan,YE,15.1718,44.3244,52.81,41,6,2.1,clear sky
257,Hosanagara,IN,13.9167,75.0667,70.72,96,91,3.56,overcast clouds
258,Statesboro,US,32.4488,-81.7832,84.2,83,90,14.97,overcast clouds
259,Tuatapere,NZ,-46.1333,167.6833,59.0,98,78,8.99,broken clouds
260,Lhokseumawe,ID,5.1801,97.1507,77.04,83,100,2.68,overcast clouds
261,Qeshm,IR,26.9581,56.2719,75.2,83,100,4.61,mist
262,Batagay,RU,67.6333,134.6333,3.58,96,100,2.19,overcast clouds
263,Rocha,UY,-34.4833,-54.3333,62.22,95,74,5.28,broken clouds
264,Atar,MR,20.5169,-13.0499,77.97,24,84,7.7,broken clouds
265,Imbituba,BR,-28.24,-48.6703,78.8,89,75,2.3,broken clouds
266,Along,IN,28.1667,94.7667,58.5,40,1,1.79,clear sky
267,Pandan,PH,14.0453,124.1694,79.81,84,100,6.4,overcast clouds
268,Forrest City,US,35.0081,-90.7898,60.8,36,1,10.36,clear sky
269,Santa Fe,AR,-31.6333,-60.7,66.99,76,86,1.99,overcast clouds
270,Tessalit,ML,20.1986,1.0114,72.39,10,0,14.63,clear sky
271,Mulbagal,IN,13.1667,78.4,67.1,86,95,4.41,overcast clouds
272,Kendari,ID,-3.945,122.4989,74.73,91,97,3.0,overcast clouds
273,Beringovskiy,RU,63.05,179.3167,14.72,92,100,17.87,light snow
274,Faanui,PF,-16.4833,-151.75,82.4,73,50,20.83,light rain
275,Saint-Georges,GD,12.0564,-61.7485,80.6,78,75,19.57,broken clouds
276,Raudeberg,NO,61.9875,5.1352,43.0,74,88,22.3,overcast clouds
277,Jalingo,NG,8.8833,11.3667,82.51,17,14,4.34,few clouds
278,Palauig,PH,15.435,119.9045,80.47,74,97,2.98,overcast clouds
279,Chulman,RU,56.8479,124.9104,20.66,95,100,3.4,light snow
280,Camana,PE,-16.6228,-72.7111,71.98,82,73,7.4,broken clouds
281,Axim,GH,4.8699,-2.2405,79.07,87,10,7.38,clear sky
